UF,municipality,code,area_de_ponderacao,N,P_AGUAENC,P_AGUAENCDENTRO,P_AGUAREDE,P_ESGOTOPUB,P_ESGOTOQUAL,P_MATPAREDES,P_OVERCROWDING,P_DESEMP,P_ENSFUND,P_ENSMED,P_ENSSUP,P_FORTRAB,P_FREQESCOLA
31,06200,3106200,3106200005001,13998.00003242493,100.0000000160071,97.09026343625737,99.55906545947073,87.76801863423316,88.27071972045815,99.61419745086459,5.696680459368508,7.756026834249496,53.62375081167556,36.64541924372315,5.098426496260799,71.01945694448659,89.28092196583748
31,06200,3106200,3106200005002,13364.00002217293,99.99999999708962,98.79385383974295,99.86902778910007,99.46804757055361,99.56252684060019,99.99999999708962,1.689378151786514,6.019041666877456,68.20484832569491,50.36439572286326,15.35757451492827,65.73572114430135,87.94940197840333
31,06200,3106200,3106200005003,16158.9999628067,99.85902323387563,99.37404364463873,99.76591200684197,98.76809341367334,98.90907000517473,99.99999982537702,2.804300922434777,6.541949094389565,57.69357441749889,37.30620985734276,7.50692794972565,68.15727904031519,86.26405298709869
31,06200,3106200,3106200005004,9079.999990940094,99.58353491383605,98.03207726799883,98.65446072653867,94.35203663888387,94.92321304860525,99.47337814955972,3.613619535462931,8.283688657684252,53.96747730846982,32.84359842073172,3.851956687867641,70.21985405008309,85.92162933200598
31,06200,3106200,3106200005005,11957.00000476837,99.79362709273119,99.17267674172763,99.60167575918604,97.53529925656039,97.90387777902652,99.64774713444058,3.794002567883581,5.763102299533784,61.07412266428582,42.33293875004165,9.14348709047772,69.05252786746132,91.95219278335571
31,06200,3106200,3106200005006,8852.000005722046,99.99999979045242,97.89061221526936,99.99999979045242,91.39878579881042,91.90719753969461,99.88090011756867,5.758095346391201,9.419556643115357,40.99436280666851,26.62719926447608,3.020884131547064,64.76963167369831,86.61532592959702
31,06200,3106200,3106200005007,12750.99999713898,99.82946938253008,98.94554408383556,99.82946938253008,89.22059066244401,89.60816378821619,99.2372014967259,5.832138739060611,9.92456586973276,44.94147512305062,22.76577039738186,2.877799357520416,68.54324989835732,83.58611762523651
31,06200,3106200,3106200005008,13396.99999237061,99.99999760184437,99.55778251169249,98.98159573785961,99.7419259394519,99.7419259394519,99.76007468649186,.7276659773197025,4.88238935940899,86.5312138106674,78.23602483258583,49.18764351168647,60.93536916887388,73.50337374955416
31,06200,3106200,3106200005009,11408.00002384186,99.99999991268851,99.34235284454189,99.99999991268851,99.99999991268851,99.99999991268851,99.99999991268851,.2536097308620811,3.338922810507938,94.32095862866845,90.50518173899036,69.25086538540199,63.84283025399782,88.33406828343868
31,06200,3106200,3106200005010,10541.00002527237,99.99999995052349,95.8326497086091,99.64338193822186,99.99999995052349,99.99999995052349,99.76612925238442,0,3.715077182278037,93.54729151527863,88.21216919168364,68.450312607456,63.21442906191805,92.1165008097887
