UF,municipality,code,area_de_ponderacao,N,P_AGUAENC,P_AGUAENCDENTRO,P_AGUAREDE,P_ESGOTOPUB,P_ESGOTOQUAL,P_MATPAREDES,P_OVERCROWDING,P_DESEMP,P_ENSFUND,P_ENSMED,P_ENSSUP,P_FORTRAB,P_FREQESCOLA
29,27408,2927408,2927408005001,11788.00000286102,98.91125423891935,91.53154858213384,97.54939752456266,89.4601149513619,91.67223113181535,98.36337323358748,6.777999844052829,19.03933050343767,51.9571334196371,33.7403592231567,1.166197855491191,61.49154965823982,87.5552931567654
29,27408,2927408,2927408005002,9362.999994754791,84.97405833913945,83.34585994598456,82.02375489636324,49.64979970827699,62.83590699895285,99.51013482059352,8.969170419732109,14.444875868503,49.84012610948412,34.88083320407895,3.073352319188416,60.46946584028774,75.22288737818599
29,27408,2927408,2927408005003,14211.00003433228,99.84560782904737,95.78538260539062,99.84560782904737,97.4227262835484,98.85498241637833,99.83325232169591,4.826237860834226,10.34771444974467,76.05042427021544,57.45641061221249,14.19524543744046,65.25551691884175,83.48571890965104
29,27408,2927408,2927408005004,13977.99998664856,99.99999973806553,98.41450525564142,99.99999973806553,98.99424678296782,99.84149981173687,99.99999973806553,.7259554113261402,7.695833407342434,88.38438390812371,81.86214613378979,51.74488070479129,65.95822864619549,90.55902352556586
29,27408,2927408,2927408005005,17734.00001811981,99.61943430243991,98.40693971491419,99.13564528687857,95.01355333195534,96.14023883768823,99.49899169732817,4.43673673144076,18.79299975116737,60.117297040415,40.95357002515811,4.364032243029214,67.09331418533111,85.57033170945942
29,27408,2927408,2927408005006,3581.000000119209,100.0000017811544,98.39428112609312,95.83748645382002,99.50303579680622,99.71427679993212,99.64185783755966,4.358754502027296,9.870067867450416,83.34948845149484,73.20813293918036,28.36420667590573,65.31372082972666,88.89375985600054
29,27408,2927408,2927408005007,21254.00004482269,99.79784704628401,97.04986077558715,99.38854104257189,96.45026604412124,97.05395136261359,99.80536045040935,5.604171552113257,14.82074606319657,55.78976608812809,38.48859069112223,2.634886960731819,67.92840099224122,83.69055467192084
29,27408,2927408,2927408005008,14860.99995565414,99.89673079981003,98.20197221415583,99.43992254848126,97.33369631285314,97.91112195525784,99.34569823381025,4.051181560498662,11.7879074125085,67.11572375497781,53.47143290855456,11.52646745031234,71.72901883823215,94.09004023182206
29,27408,2927408,2927408005009,31610.00009918213,99.86102570255753,96.35164072096813,99.79330537898932,98.87863605690654,99.29155911377165,99.77827961265575,2.537680778186768,7.602263080480043,79.08238760719541,69.05084010504652,33.03481308394112,68.9812108190381,88.41171683743596
29,27408,2927408,2927408005010,13039.00003480911,99.60053015092853,88.56593597738538,99.16528038738761,98.24601795116905,98.77832162019331,98.84180021763314,5.148608339368366,11.39511282090098,71.52585813601036,54.23065931536257,7.685686435434036,66.76976598919282,76.84616972110234
29,27408,2927408,2927408005011,10436.99995517731,99.99999974388629,99.34910938609391,99.99999974388629,97.56366416113451,98.88596839737147,98.87186562409624,1.521348592359573,9.86344832344912,85.29683909146115,76.11149083822966,25.98708474251907,65.66428770165658,97.97899946570396
29,27408,2927408,2927408005012,18322.99999856949,99.30352335941279,94.5707419727114,98.96400815487141,75.62401173490798,82.60809601197252,98.93697218067246,5.765110251377337,15.1149576442549,63.64500788622536,45.12181189638795,3.826365194981918,65.6997859961848,81.32167647127062
29,27408,2927408,2927408005013,38450.99992275238,99.56966007594019,98.78660752729047,99.16222218016628,96.30017556773964,97.0648067392176,99.30072905262932,6.199900203500874,13.75617119192611,64.5352260558866,45.86964154586894,8.565554849337786,68.98689156514592,87.91189277544618
29,27408,2927408,2927408005014,15511.00003528595,99.18411291437224,94.734143873211,98.60262186266482,80.19791440456174,83.38005391415209,99.0574860770721,6.741864274954423,15.87951954279561,58.16131029423559,38.98192907581688,2.849777764640749,67.17460417930852,88.78312623128295
29,27408,2927408,2927408005015,10725.99999380112,99.29276835246128,98.54764650881407,99.29276835246128,88.24212815452483,93.32210659122211,99.99999977953848,6.945016502868384,12.79662398155779,62.77636489685392,47.01688710338203,6.170215460588224,65.84833517554216,92.5966112408787
29,27408,2927408,2927408005016,2192.999995231628,96.97571773431264,91.03083058726043,96.80447826976888,96.5744000452105,98.41712203924544,96.15228074253537,9.051402477780357,10.49798488966189,64.94965786696412,48.00087689072825,10.76319703715853,69.44338897446869,84.05404957011342
29,27408,2927408,2927408005017,11126.9999833107,99.86917375354096,98.89041815185919,99.86917375354096,99.14750269381329,99.29857898969203,99.79311969364062,4.711178713478148,9.788297419436276,80.12153697345639,68.01808239251841,28.80064511555247,65.18853246234357,88.55456002056599
29,27408,2927408,2927408005018,3978.999999761581,99.48643822572194,95.51225862815045,99.40710730152205,97.18683801474981,97.80278328689747,97.86284870351665,6.152770738117397,12.45149719470646,69.32807477278402,54.74143953470048,10.44630746473558,64.7667582554277,80.01913479529321
29,27408,2927408,2927408005019,12492.99999165535,99.57906287600053,99.57906287600053,99.39845253684325,98.17091630975483,98.92379056400387,99.59292400599224,7.094357526511885,14.75754247512668,66.78027980960906,49.29501830483787,2.875588869210333,70.15414377310663,84.03548584319651
29,27408,2927408,2927408005020,13292.00001525879,100.0000004074536,99.5614246930927,99.77144586155191,98.89933607773855,99.53671974362805,99.38885814044625,1.100550446426496,4.896972386632115,89.16109151614364,81.33958397957031,50.3536614269251,70.06839071109425,88.45317950472236
